,Player,Weight,Height,Position,Rk,Age,Team_x,GP_x,G_x,A_x,PTS,+/-,PIM_x,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Unnamed: 0_y,Round,Draft Position,Team_y,Seasons,GP_y,G_y,A_y,TP,PIM_y,Year,PPS
163,Chris Frank,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,7,188,Phoenix Coyotes,0,0,0,0,0,0,2006,0.0
173,Cameron Cepek,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,7,199,Montréal Canadiens,0,0,0,0,0,0,2006,0.0
174,Arturs Kulda,215.0,74.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199,7,200,Atlanta Thrashers,3,15,0,2,2,8,2006,0.6666666666666666
181,Kyell Henegan,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,7,208,New Jersey Devils,0,0,0,0,0,0,2006,0.0
182,Per Johnsson,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,7,209,Calgary Flames,0,0,0,0,0,0,2006,0.0
183,Will O'Neill,190.0,73.0,D,948.0,29.0,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9:25,9:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,7,210,Atlanta Thrashers,1,1,0,0,0,0,2006,0.0
185,Logan Pyett,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,7,212,Detroit Red Wings,0,0,0,0,0,0,2006,0.0
186,Justin Krueger,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212,7,213,Carolina Hurricanes,0,0,0,0,0,0,2006,0.0
190,Thomas Hickey,183.0,72.0,D,560.0,23.0,NYI,456.0,22.0,95.0,117.0,37.0,190.0,22.0,0.0,0.0,6.0,86.0,4.0,4.0,496.0,2.5,95.0,657:31,19:29,0.0,0.0,0.0,695.0,498.0,144.0,302.0,216,1,4,Los Angeles Kings,9,456,22,95,117,190,2007,13.0
191,Karl Alzner,219.0,75.0,D,611.0,21.0,WSH,656.0,19.0,106.0,125.0,55.0,217.0,19.0,0.0,0.0,2.0,101.0,2.0,3.0,594.0,0.0,38.0,344:25,21:23,0.0,0.0,0.0,1225.0,820.0,165.0,377.0,217,1,5,Washington Capitals,12,686,20,110,130,219,2007,10.833333333333334
196,Keaton Ellerby,220.0,77.0,D,839.0,21.0,FLA,256.0,4.0,26.0,30.0,-10.0,140.0,3.0,1.0,0.0,1.0,25.0,1.0,0.0,185.0,0.0,18.0,119:21,5:26,0.0,0.0,0.0,285.0,392.0,40.0,121.0,222,1,10,Florida Panthers,6,212,4,23,27,88,2007,4.5
198,Ryan McDonagh,215.0,73.0,D,532.0,21.0,NYR,991.0,80.0,338.0,418.0,254.0,377.0,66.0,10.0,4.0,13.0,256.0,68.0,14.0,1539.0,3.7,70.0,749:35,24:49,0.0,0.0,0.0,2022.0,1128.0,535.0,720.0,224,1,12,Montréal Canadiens,15,956,76,322,398,363,2007,26.53333333333333
200,Kevin Shattenkirk,206.0,72.0,D,151.0,22.0,2TM,1104.0,125.0,458.0,583.0,-40.0,627.0,70.0,55.0,0.0,19.0,258.0,197.0,3.0,2155.0,8.3,244.0,1428:32,22:34,0.0,0.0,0.0,1472.0,1082.0,507.0,587.0,226,1,14,Colorado Avalanche,14,952,103,381,484,544,2007,34.57142857142857
201,Alex Plante,230.0,76.0,D,796.0,20.0,EDM,10.0,0.0,2.0,2.0,-1.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,8.0,54:24,15:03,0.0,0.0,0.0,6.0,16.0,1.0,4.0,227,1,15,Edmonton Oilers,3,10,0,2,2,15,2007,0.6666666666666666
204,Ian Cole,219.0,73.0,D,634.0,21.0,STL,1021.0,45.0,193.0,238.0,203.0,903.0,45.0,0.0,0.0,5.0,184.0,8.0,1.0,1071.0,4.5,58.0,457:48,19:49,0.0,0.0,0.0,1781.0,1280.0,271.0,484.0,230,1,18,St. Louis Blues,15,856,35,166,201,777,2007,13.4
209,Jonathon Blum,188.0,73.0,D,545.0,22.0,NSH,110.0,7.0,17.0,24.0,-11.0,22.0,6.0,1.0,0.0,2.0,17.0,0.0,0.0,83.0,16.7,40.0,408:22,9:52,0.0,0.0,0.0,166.0,80.0,33.0,43.0,235,1,23,Nashville Predators,5,110,7,17,24,22,2007,4.8
213,Brendan Smith,195.0,74.0,D,575.0,22.0,DET,745.0,41.0,106.0,147.0,-5.0,817.0,36.0,4.0,1.0,4.0,93.0,10.0,3.0,846.0,7.7,31.0,218:50,20:10,0.0,0.0,0.0,736.0,990.0,217.0,455.0,239,1,27,Detroit Red Wings,14,708,38,103,141,774,2007,10.071428571428571
214,Nick Petrecki,230.0,75.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,1,28,San Jose Sharks,1,1,0,0,0,0,2007,0.0
216,Nick Ross,0.0,0.0,D,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,1,30,Phoenix Coyotes,0,0,0,0,0,0,2007,0.0
217,T.J. Brennan,0.0,0.0,D,760.0,22.0,BUF,82.0,8.0,15.0,23.0,-31.0,37.0,6.0,2.0,0.0,0.0,8.0,7.0,0.0,120.0,7.1,36.0,155:20,17:41,0.0,0.0,0.0,80.0,91.0,28.0,25.0,243,2,31,Buffalo Sabres,4,53,5,8,13,29,2007,3.25
