,Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
121,75.0,Spencer Martin,21.0,COL,G,76.0,68.0,28.0,35.0,9.0,249.0,2210.0,1961.0,0.95,4.35,0.0,179:26378:211610:111072:13707:13365:00,28.0,1.0,1.0,156.0,-4.7,5.02,0.0,0.0,0.0,0.0,0.0,
122,77.0,Antoine Bibeau,22.0,TOR,G,4.0,3.0,2.0,1.0,0.0,9.0,97.0,88.0,0.927,1.99,0.0,120:3991:45,2.0,1.0,0.0,84.0,0.8,2.49,0.4,0.0,0.0,0.0,0.0,
123,81.0,Jorge Alves,38.0,CAR,G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0:08,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
124,82.0,Jack Campbell,25.0,LAK,G,201.0,189.0,104.0,63.0,21.0,522.0,5716.0,5194.0,1.0,0.0,10.0,20:00266:371592:461566:591201:38365:211284:242795:242026:23266:47,94.0,,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,
125,83.0,Eric Comrie,21.0,WPG,G,57.0,53.0,24.0,26.0,2.0,177.0,1658.0,1481.0,0.92,4.05,2.0,59:18180:2659:53126:1560:001024:491111:59519:54,23.0,1.0,0.0,119.0,-0.6,5.06,0.2,0.0,0.0,0.0,0.0,
126,87.0,Jon Gillies,23.0,CGY,G,55.0,42.0,11.0,26.0,5.0,163.0,1474.0,1311.0,0.964,1.0,0.0,60:00604:561004:4563:46940:59118:09,18.0,1.0,0.0,41.0,1.4,1.0,0.3,0.0,0.0,0.0,0.0,
127,89.0,Tristan Jarry,21.0,PIT,G,257.0,246.0,136.0,85.0,25.0,650.0,7353.0,6703.0,0.921,3.06,19.0,58:451363:56120:031926:292185:183415:112650:022740:38,149.0,0.632,0.0,139.0,-0.8,3.06,0.0,0.0,0.0,0.0,0.0,
128,90.0,Marek Langhamer,22.0,ARI,G,2.0,0.0,0.0,0.0,0.0,1.0,18.0,17.0,1.0,3.87,0.0,15:3128:53,0.0,,0.0,144.0,-0.3,3.87,0.0,0.0,0.0,0.0,0.0,
129,91.0,Alex Nedeljkovic,21.0,CAR,G,141.0,125.0,60.0,45.0,22.0,386.0,4089.0,3703.0,1.0,0.0,8.0,29:5760:00216:191392:023230:48832:382060:28,66.0,,0.0,0.0,1.5,0.0,0.3,0.0,0.0,0.0,2.0,
130,92.0,David Rittich,24.0,CGY,G,215.0,188.0,97.0,65.0,26.0,537.0,5712.0,5175.0,0.921,3.0,8.0,20:001008:142503:202791:58965:46745:05220:41822:561121:411364:31,100.0,,0.0,116.0,-0.1,3.0,0.0,0.0,0.0,0.0,0.0,
131,61.0,Maxime Lagace,25.0,VEG,G,20.0,18.0,8.0,9.0,1.0,71.0,548.0,477.0,1.0,3.92,1.0,873:3159:3160:0098:08,6.0,1.0,3.0,151.0,-19.3,4.26,0.3,0.0,0.0,0.0,0.0,
132,62.0,Jeff Glass,32.0,CHI,G,15.0,13.0,3.0,7.0,3.0,46.0,452.0,406.0,0.898,3.36,0.0,820:54,5.0,0.385,2.0,116.0,-6.3,3.65,1.8,0.0,0.0,0.0,2.0,
133,64.0,Casey DeSmith,26.0,PIT,G,163.0,142.0,70.0,53.0,21.0,420.0,4629.0,4209.0,0.921,2.4,10.0,700:091943:331132:191418:092065:571663:29,77.0,0.636,1.0,90.0,3.2,2.57,2.3,0.0,0.0,0.0,2.0,
134,70.0,Alex Lyon,25.0,PHI,G,83.0,74.0,37.0,29.0,10.0,230.0,2383.0,2153.0,0.912,2.75,3.0,479:4870:49135:19324:09122:49893:112498:51,38.0,0.714,2.0,108.0,-1.6,3.0,1.1,0.0,0.0,0.0,0.0,
135,71.0,Alexandar Georgiev,21.0,NYR,G,254.0,241.0,136.0,82.0,22.0,682.0,7422.0,6740.0,0.918,3.15,15.0,514:461874:101891:44973:561746:063700:203637:57,127.0,0.661,1.0,93.0,2.1,3.38,2.1,0.0,0.0,0.0,0.0,
136,72.0,Harri SÃ¤teri,28.0,FLA,G,15.0,11.0,6.0,6.0,1.0,45.0,428.0,383.0,0.911,2.92,0.0,492:36298:22,5.0,0.714,0.0,101.0,-0.2,3.17,1.5,0.0,0.0,0.0,0.0,
137,80.0,Oscar Dansk,23.0,VEG,G,6.0,5.0,4.0,1.0,0.0,15.0,159.0,144.0,0.946,1.78,1.0,168:3660:0061:25,3.0,1.0,0.0,61.0,3.2,1.78,0.9,0.0,0.0,0.0,0.0,
138,81.0,Adin Hill,21.0,ARI,G,136.0,123.0,64.0,51.0,8.0,331.0,3672.0,3341.0,0.918,3.49,7.0,240:45696:21640:461005:541375:571490:541968:49,66.0,0.64,1.0,124.0,-2.7,3.74,0.4,0.0,0.0,0.0,0.0,
139,82.0,Kenneth Appleby,22.0,NJD,G,4.0,1.0,0.0,1.0,0.0,5.0,63.0,58.0,0.945,1.45,0.0,124:2020:00,0.0,0.0,0.0,62.0,1.8,1.45,0.5,0.0,0.0,0.0,0.0,
140,85.0,Collin Delia,23.0,CHI,G,52.0,45.0,19.0,18.0,7.0,161.0,1557.0,1396.0,0.908,3.96,0.0,105:59831:03334:29343:061135:40,19.0,0.5,0.0,127.0,-1.5,4.53,0.2,0.0,0.0,0.0,2.0,
141,87.0,Thatcher Demko,22.0,VAN,G,219.0,213.0,116.0,81.0,17.0,596.0,6768.0,6172.0,0.918,3.91,8.0,61:21534:091529:032086:483700:391878:313015:53,122.0,0.75,0.0,152.0,-1.4,3.91,0.0,0.0,0.0,0.0,0.0,
142,88.0,Dylan Ferguson,19.0,VEG,G,3.0,2.0,1.0,1.0,0.0,6.0,85.0,79.0,0.94,6.5,0.0,9:14118:52,1.0,,0.0,570.0,-0.8,6.5,-0.1,0.0,0.0,0.0,0.0,
143,89.0,Scott Foster,36.0,CHI,G,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,14:01,0.0,,0.0,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.0,
144,90.0,Brandon Halverson,21.0,NYR,G,1.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,0.833,4.78,0.0,12:33,0.0,,0.0,190.0,-0.5,4.78,0.0,0.0,0.0,0.0,0.0,
145,94.0,Daniel Taylor,31.0,OTT,G,1.0,1.0,0.0,1.0,0.0,4.0,34.0,30.0,0.882,4.1,0.0,58:29,0.0,0.0,0.0,134.0,-1.0,4.1,0.1,0.0,0.0,0.0,0.0,
146,95.0,Adam Wilcox,25.0,BUF,G,1.0,0.0,0.0,1.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,38:39,0.0,,0.0,0.0,1.2,0.0,0.2,0.0,0.0,0.0,0.0,
147,13.0,Mikko Koskinen,30.0,EDM,G,164.0,153.0,83.0,59.0,13.0,455.0,4879.0,4424.0,0.917,2.93,6.0,2991:512116:311437:392628:38,72.0,0.5,8.0,104.0,-6.2,3.13,8.0,0.0,2.0,2.0,2.0,
